sector,wg,em
Ընդամենը,5.56,4.56
Գյուղատնտեսություն,9.30,9.39
Հանքագործություն,9.78,5.77
Մշակող արդյունաբեր.,8.65,3.35
Էլեկտրականություն,3.15,0.52
Ջրամատակարարում,6.04,3.31
Շինարարություն,2.84,11.75
Առևտուր,7.85,5.50
Փոխադրումներ,12.92,1.19
Կացություն,5.86,4.03
Տեղեկատվություն,0.88,1.33
Ֆինանսական,-0.45,1.83
Անշարժ գույք,5.59,7.30
Մասնագիտական,6.37,4.22
Վարչարարական,4.28,4.87
Պետական կառավարում,12.56,8.59
Կրթություն,-1.76,15.06
Առողջապահություն,8.42,1.46
Մշակույթ,5.99,4.66
Սպասարկման այլ,8.66,2.56
