cu,oil,gold
9037.95,83.09,1897.71
8936.59,82.71,1854.54
8856.31,78.53,1912.73
8809.42,84.11,1999.77
8217.47,75.70,1992.13
8396.52,74.89,1942.90
8476.68,80.10,1951.02
8349.13,86.16,1918.70
8276.71,94.00,1915.95
7937.18,91.06,1916.25
8189.59,83.18,1984.11
8399.94,77.86,2026.18
8338.88,80.23,2034.04
8304.95,83.76,2023.24
8689.13,85.45,2158.01
9464.43,90.05,2331.45
10139.33,82.00,2351.13
9648.17,82.56,2326.44
9385.31,85.30,2398.20
8971.96,80.86,2470.15
9237.48,74.29,2570.55
9533.99,75.66,2690.08
9075.73,74.39,2651.13
8916.32,73.83,2648.01
8991.41,79.21,2709.69
9330.60,75.16,2894.73
9739.68,72.57,2983.25
9176.80,67.75,3217.64
9532.98,64.21,3309.49
9835.07,71.45,3352.66
9770.58,70.95,3340.15
9669.56,68.20,3368.03
9983.79,67.95,3667.68
10739.91,64.65,4058.33
10812.03,63.61,4087.19
11785.25,62.72,4309.23
13012.00,66.77,4752.75
