month,meat,dairy,cereals,oil,sugar,food
1,100.00,100.00,100.00,100.00,100.00,100.00
3,105.56,104.51,92.49,106.60,97.77,101.10
5,107.17,106.39,98.98,104.37,85.85,102.41
7,110.23,107.74,92.31,110.23,87.64,102.75
9,110.13,115.02,94.71,116.24,92.56,105.90
11,109.07,117.95,92.92,133.99,92.70,108.55
1,107.16,120.53,93.29,124.95,81.53,105.95
3,108.67,125.32,91.49,132.07,85.70,108.15
5,112.76,129.44,90.88,124.31,80.23,108.01
7,116.34,130.22,88.79,136.21,75.77,110.31
9,117.48,124.06,87.52,137.12,72.87,109.34
11,115.18,114.79,87.99,134.73,64.94,106.39
1,113.68,102.61,89.64,137.70,65.86,105.28
