month,in_2021,in_2022,in_2023,in_2024,in_2025,out_2021,out_2022,out_2023,out_2024,out_2025,net_2021,net_2022,net_2023,net_2024,net_2025
1,114.45,127.90,386.08,360.74,377.51,82.14,87.44,215.89,327.92,358.80,32.31,40.46,170.19,32.82,18.71
2,246.15,308.02,1100.03,771.24,845.31,182.93,211.46,597.71,617.37,757.78,63.22,96.56,502.32,153.86,87.53
3,405.59,560.65,1582.46,1214.75,1271.79,276.51,370.36,1029.27,936.19,1128.10,129.08,190.29,553.19,278.56,143.69
4,573.51,860.12,2045.08,1672.42,1772.00,370.32,503.23,1325.33,1344.90,1498.60,203.19,356.88,719.74,327.52,273.41
5,748.36,1272.23,2480.50,2088.42,2304.88,466.90,646.25,1713.20,1639.05,1793.16,281.46,625.98,767.30,449.37,511.72
6,948.17,1870.02,2925.09,2524.88,2756.19,565.28,876.09,2027.40,1929.48,2168.57,382.88,993.92,897.68,595.41,587.62
7,1146.51,2437.74,3302.39,3010.76,3289.40,662.92,1308.42,2271.36,2252.07,2572.78,483.59,1129.32,1031.03,758.69,716.62
8,1340.11,2910.02,3819.87,3562.06,3744.98,763.78,1489.51,2586.46,2771.32,2855.65,576.33,1420.51,1233.41,790.74,889.33
9,1536.81,3461.57,4264.30,3963.89,4252.42,866.59,1732.04,2933.92,3075.91,3226.98,670.21,1729.54,1330.38,887.98,1025.44
10,1722.24,4079.63,4807.57,4520.73,4761.72,979.25,2023.17,3351.80,3472.73,3614.17,742.99,2056.46,1455.77,1048.00,1147.56
11,1898.51,4599.48,5219.26,4976.87,5260.19,1092.48,2317.70,3723.86,3852.45,3935.72,806.03,2281.78,1495.39,1124.42,1324.47
12,2108.94,5190.41,5695.53,5837.10,5979.88,1225.62,2606.77,4040.81,4327.72,4340.35,883.31,2583.64,1654.71,1509.37,1639.53
