month,gr24,gr25,state,comm,hum,org,pop
I,9.50,11.60,1.29,-2.28,-0.10,8.82,3.86
II,11.70,12.70,-1.69,0.91,-0.50,8.93,5.05
III,13.10,15.50,11.64,-1.68,-1.38,6.03,0.90
IV,17.80,17.90,8.51,-0.81,-0.14,8.67,1.67
V,18.10,22.20,-7.17,0.76,-0.25,25.70,3.16
VI,18.00,22.60,5.05,3.06,-0.36,3.12,11.73
VII,17.70,26.10,20.28,2.41,-0.06,1.76,1.71
VIII,16.50,21.10,1.51,2.06,-0.20,15.13,2.60
IX,14.70,22.00,14.63,3.55,-1.12,3.59,1.35
X,13.50,20.10,15.42,-0.12,0.27,1.03,3.51
XI,11.60,17.20,3.25,1.84,0.35,6.05,5.70
XII,12.90,20.50,16.35,3.37,-0.29,-4.45,5.52
