quarter,trend_blue,trend_red,t_blue,t_red
2018-I,92.79,92.53,4437,1122
2018-II,96.97,99.10,5092,1175
2018-III,103.04,103.45,5996,1509
2018-IV,107.21,104.91,6208,1462
2019-I,110.44,108.26,4712,1196
2019-II,115.14,113.80,4688,1312
2019-III,116.49,112.96,6032,1573
2019-IV,118.91,120.62,6835,1720
2020-I,125.48,127.03,4792,1120
2020-II,125.80,128.34,2388,638
2020-III,129.34,136.44,5632,1167
2020-IV,127.99,146.16,4258,872
2021-I,134.07,150.49,4171,1064
2021-II,137.93,160.43,4772,1286
2021-III,136.93,162.79,6152,1497
2021-IV,137.33,161.34,6607,1494
2022-I,143.30,169.28,5225,1429
2022-II,146.16,175.64,6527,1554
2022-III,136.06,153.46,5089,1180
2022-IV,140.02,162.79,4937,1137
2023-I,153.48,169.79,4310,1382
2023-II,160.19,189.82,4935,1494
2023-III,164.32,193.91,4749,1426
2023-IV,170.20,209.87,5033,1625
2024-I,166.33,202.57,4690,1064
2024-II,168.85,233.21,4644,1364
2024-III,168.56,225.68,5292,1480
2024-IV,165.84,219.10,6224,1503
2025-I,170.46,222.01,4734,1236
2025-II,174.54,235.35,6196,1749
2025-III,177.88,250.42,7113,2192
