date,ArmStat_Industry_Total_Current_Mln_AMD,ArmStat_Industry_Mining_Current_Mln_AMD,ArmStat_Industry_MetalOres_Current_Mln_AMD,ArmStat_Industry_Manufacturing_Current_Mln_AMD,ArmStat_Industry_ElectricityGas_Current_Mln_AMD,ArmStat_Industry_WaterWaste_Current_Mln_AMD,ArmStat_Industry_Total_Index,ArmStat_Industry_Mining_Index,ArmStat_Industry_MetalOres_Index,ArmStat_Industry_Manufacturing_Index,ArmStat_Industry_ElectricityGas_Index,ArmStat_Industry_WaterWaste_Index,ArmStat_EAI_ChainLink_2023_Index,ArmStat_EAI_SA_2023_Index,ArmStat_Export_UnitValue_MoM_Index,ArmStat_Import_UnitValue_MoM_Index,ArmStat_FreightTariff_Total_MoM_Index,ArmStat_FreightTariff_Road_MoM_Index,ArmStat_FreightTariff_Rail_MoM_Index
1993-01-01,,,,,,,,,,,,,,,,,100.0,100.0,
1993-02-01,,,,,,,,,,,,,,,,,123.2,100.0,
1993-03-01,,,,,,,,,,,,,,,,,100.0,100.0,
1993-04-01,,,,,,,,,,,,,,,,,303.8,479.8,
1993-05-01,,,,,,,,,,,,,,,,,100.0,100.0,
1993-06-01,,,,,,,,,,,,,,,,,136.2,127.1,
1993-07-01,,,,,,,,,,,,,,,,,116.1,123.0,
1993-08-01,,,,,,,,,,,,,,,,,100.0,100.0,
1993-09-01,,,,,,,,,,,,,,,,,110.2,100.0,
1993-10-01,,,,,,,,,,,,,,,,,149.0,176.2,
1993-11-01,,,,,,,,,,,,,,,,,186.1,176.2,
1993-12-01,,,,,,,,,,,,,,,,,165.2,176.2,
1994-01-01,,,,,,,,,,,,,,,,,216.8,176.2,
1994-02-01,,,,,,,,,,,,,,,,,104.1,100.0,
1994-03-01,,,,,,,,,,,,,,,,,121.8,100.0,
1994-04-01,,,,,,,,,,,,,,,,,200.8,224.5,
1994-05-01,,,,,,,,,,,,,,,,,107.0,100.0,
1994-06-01,,,,,,,,,,,,,,,,,100.0,100.0,
1994-07-01,,,,,,,,,,,,,,,,,100.0,100.0,
1994-08-01,,,,,,,,,,,,,,,,,100.0,100.0,
1994-09-01,,,,,,,,,,,,,,,,,100.0,100.0,
1994-10-01,,,,,,,,,,,,,,,,,101.6,100.0,
1994-11-01,,,,,,,,,,,,,,,,,101.0,100.0,
1994-12-01,,,,,,,,,,,,,,,,,100.5,100.0,
1995-01-01,,,,,,,,,,,,,,,,,100.5,98.2,99.0
1995-02-01,,,,,,,,,,,,,,,,,99.2,96.3,99.8
1995-03-01,,,,,,,,,,,,,,,,,99.5,98.4,99.8
1995-04-01,,,,,,,,,,,,,,,,,104.7,101.6,100.7
1995-05-01,,,,,,,,,,,,,,,,,100.0,100.0,100.0
1995-06-01,,,,,,,,,,,,,,,,,99.7,98.2,100.1
1995-07-01,,,,,,,,,,,,,,,,,100.4,102.3,99.8
1995-08-01,,,,,,,,,,,,,,,,,101.4,98.2,100.2
1995-09-01,,,,,,,,,,,,,,,,,100.3,101.8,99.8
1995-10-01,,,,,,,,,,,,,,,,,99.1,99.1,88.7
1995-11-01,,,,,,,,,,,,,,,,,99.5,98.5,99.8
1995-12-01,,,,,,,,,,,,,,,,,125.5,198.0,100.3
1996-01-01,,,,,,,,,,,,,,,,,101.1,98.5,99.8
1996-02-01,,,,,,,,,,,,,,,,,95.1,72.4,100.1
1996-03-01,,,,,,,,,,,,,,,,,100.1,100.4,100.1
1996-04-01,,,,,,,,,,,,,,,,,101.7,103.9,100.2
1996-05-01,,,,,,,,,,,,,,,,,102.0,101.7,102.0
1996-06-01,,,,,,,,,,,,,,,,,100.7,103.0,100.3
1996-07-01,,,,,,,,,,,,,,,,,98.6,98.1,100.4
1996-08-01,,,,,,,,,,,,,,,,,100.4,100.0,101.0
1996-09-01,,,,,,,,,,,,,,,,,102.6,97.3,99.9
1996-10-01,,,,,,,,,,,,,,,,,100.2,102.4,99.5
1996-11-01,,,,,,,,,,,,,,,,,103.7,106.5,101.8
1996-12-01,,,,,,,,,,,,,,,,,105.1,112.1,101.6
1997-01-01,,,,,,,,,,,,,,,,,102.8,96.8,101.2
1997-02-01,,,,,,,,,,,,,,,,,104.7,101.5,111.7
1997-03-01,,,,,,,,,,,,,,,,,102.3,100.2,105.6
1997-04-01,,,,,,,,,,,,,,,,,100.5,100.9,100.9
1997-05-01,,,,,,,,,,,,,,,,,100.3,99.8,100.7
1997-06-01,,,,,,,,,,,,,,,,,101.0,100.3,102.3
1997-07-01,,,,,,,,,,,,,,,,,100.0,100.0,100.1
1997-08-01,,,,,,,,,,,,,,,,,106.1,102.7,99.5
1997-09-01,,,,,,,,,,,,,,,,,102.7,99.6,99.8
1997-10-01,,,,,,,,,,,,,,,,,99.3,99.3,99.9
1997-11-01,,,,,,,,,,,,,,,,,99.7,100.9,99.9
1997-12-01,,,,,,,,,,,,,,,,,99.9,100.2,100.0
1998-01-01,,,,,,,,,,,,,,,,,96.2,100.1,95.8
1998-02-01,,,,,,,,,,,,,,,,,103.9,100.1,104.7
1998-03-01,,,,,,,,,,,,,,,,,99.3,99.5,99.0
1998-04-01,,,,,,,,,,,,,,,,,99.4,100.0,99.1
1998-05-01,,,,,,,,,,,,,,,,,100.0,100.1,100.1
1998-06-01,,,,,,,,,,,,,,,,,101.1,100.0,101.3
1998-07-01,,,,,,,,,,,,,,,,,102.1,100.0,100.1
1998-08-01,,,,,,,,,,,,,,,,,100.2,104.0,99.8
1998-09-01,,,,,,,,,,,,,,,,,99.8,103.9,99.3
1998-10-01,,,,,,,,,,,,,,,,,99.7,100.0,100.0
1998-11-01,,,,,,,,,,,,,,,,,98.0,101.0,96.3
1998-12-01,,,,,,,,,,,,,,,,,100.8,97.5,102.1
1999-01-01,,,,,,,,,,,,,,,,,100.0,100.1,95.8
1999-02-01,,,,,,,,,,,,,,,,,104.6,100.1,104.7
1999-03-01,,,,,,,,,,,,,,,,,99.4,99.5,99.0
1999-04-01,,,,,,,,,,,,,,,,,98.9,100.0,99.1
1999-05-01,,,,,,,,,,,,,,,,,100.1,100.1,100.1
1999-06-01,,,,,,,,,,,,,,,,,101.3,100.0,101.3
1999-07-01,,,,,,,,,,,,,,,,,100.8,100.0,100.1
1999-08-01,,,,,,,,,,,,,,,,,99.5,104.0,99.8
1999-09-01,,,,,,,,,,,,,,,,,99.4,103.9,99.3
1999-10-01,,,,,,,,,,,,,,,,,99.4,100.0,100.0
1999-11-01,,,,,,,,,,,,,,,,,97.6,101.0,96.3
1999-12-01,,,,,,,,,,,,,,,,,101.6,97.5,102.1
2000-01-01,,,,,,,,,,,,,,,,,97.9,100.3,98.1
2000-02-01,,,,,,,,,,,,,,,,,102.1,98.8,101.7
2000-03-01,,,,,,,,,,,,,,,,,100.1,102.5,99.8
2000-04-01,,,,,,,,,,,,,,,,,100.0,100.6,100.0
2000-05-01,,,,,,,,,,,,,,,,,100.7,99.3,100.6
2000-06-01,,,,,,,,,,,,,,,,,100.8,100.4,101.1
2000-07-01,,,,,,,,,,,,,,,,,102.0,104.3,102.1
2000-08-01,,,,,,,,,,,,,,,,,100.1,100.1,99.6
2000-09-01,,,,,,,,,,,,,,,,,98.9,102.2,99.3
2000-10-01,,,,,,,,,,,,,,,,,99.2,99.9,99.1
2000-11-01,,,,,,,,,,,,,,,,,101.7,96.3,102.6
2000-12-01,,,,,,,,,,,,,,,,,101.0,101.0,100.5
2001-01-01,,,,,,,,,,,,,,,,,99.7,99.8,99.3
2001-02-01,,,,,,,,,,,,,,,,,99.8,95.8,100.9
2001-03-01,,,,,,,,,,,,,,,,,99.8,99.6,98.8
2001-04-01,,,,,,,,,,,,,,,,,99.1,100.0,99.2
2001-05-01,,,,,,,,,,,,,,,,,100.4,101.9,100.8
2001-06-01,,,,,,,,,,,,,,,,,101.3,100.4,101.1
2001-07-01,,,,,,,,,,,,,,,,,99.9,99.1,99.9
2001-08-01,,,,,,,,,,,,,,,,,99.7,99.5,100.1
2001-09-01,,,,,,,,,,,,,,,,,100.4,102.9,100.1
2001-10-01,,,,,,,,,,,,,,,,,99.7,102.7,99.8
2001-11-01,,,,,,,,,,,,,,,,,101.6,98.6,101.6
2001-12-01,,,,,,,,,,,,,,,,,100.4,97.6,100.4
2002-01-01,,,,,,,,,,,,,,,,,99.5,98.2,99.4
2002-02-01,,,,,,,,,,,,,,,,,100.1,99.8,100.4
2002-03-01,,,,,,,,,,,,,,,,,100.5,101.1,100.7
2002-04-01,,,,,,,,,,,,,,,,,101.2,100.5,101.5
2002-05-01,,,,,,,,,,,,,,,,,100.8,100.0,100.5
2002-06-01,,,,,,,,,,,,,,,,,100.3,99.8,100.4
2002-07-01,,,,,,,,,,,,,,,,,99.6,100.2,98.8
2002-08-01,,,,,,,,,,,,,,,,,97.0,100.7,96.7
2002-09-01,,,,,,,,,,,,,,,,,99.5,99.9,100.0
2002-10-01,,,,,,,,,,,,,,,,,103.7,100.0,104.3
2002-11-01,,,,,,,,,,,,,,,,,100.5,99.8,100.5
2002-12-01,,,,,,,,,,,,,,,,,100.5,100.1,100.7
2003-01-01,,,,,,,,,,,,,,,,,99.6,96.2,99.8
2003-02-01,,,,,,,,,,,,,,,,,100.2,100.4,99.9
2003-03-01,,,,,,,,,,,,,,,,,100.6,99.4,100.5
2003-04-01,,,,,,,,,,,,,,,,,100.0,99.4,100.4
2003-05-01,,,,,,,,,,,,,,,,,99.6,97.9,99.6
2003-06-01,,,,,,,,,,,,,,,,,99.8,99.1,99.7
2003-07-01,,,,,,,,,,,,,,,,,100.1,100.4,100.0
2003-08-01,,,,,,,,,,,,,,,,,98.3,100.9,98.2
2003-09-01,,,,,,,,,,,,,,,,,101.0,102.1,101.3
2003-10-01,,,,,,,,,,,,,,,,,98.4,99.4,98.1
2003-11-01,,,,,,,,,,,,,,,,,97.7,102.0,97.9
2003-12-01,,,,,,,,,,,,,,,,,101.5,99.3,101.4
2004-01-01,,,,,,,,,,,,,,,,,99.8,99.0,100.0
2004-02-01,,,,,,,,,,,,,,,,,100.4,99.9,100.0
2004-03-01,,,,,,,,,,,,,,,,,107.7,100.2,99.6
2004-04-01,,,,,,,,,,,,,,,,,99.7,102.2,99.6
2004-05-01,,,,,,,,,,,,,,,,,98.7,103.5,97.4
2004-06-01,,,,,,,,,,,,,,,,,99.5,99.4,100.2
2004-07-01,,,,,,,,,,,,,,,,,97.3,96.6,97.4
2004-08-01,,,,,,,,,,,,,,,,,97.4,101.4,97.1
2004-09-01,,,,,,,,,,,,,,,,,99.3,101.0,99.6
2004-10-01,,,,,,,,,,,,,,,,,98.6,100.1,98.3
2004-11-01,,,,,,,,,,,,,,,,,99.6,105.6,99.2
2004-12-01,,,,,,,,,,,,,,,,,99.1,101.8,99.4
2005-01-01,,,,,,,,,,,,,,,,,97.3,97.9,97.0
2005-02-01,,,,,,,,,,,,,,,,,98.9,98.3,98.5
