date,"Currency in circulation mln, AMD","Demand deposits in drams mln, AMD","M1 mln, AMD","Time deposits in drams mln, AMD","M2 mln, AMD","Deposits in foreign currency mln, AMD","M2X mln, AMD"
2003-01-01,74980.4,21954.3,96934.7,10695.0,107629.7,77572.3,185202.0
2003-02-01,75523.0,22351.0,97874.0,9978.0,107852.0,77582.0,185434.0
2003-03-01,74801.0,20608.3,95409.3,11158.0,106567.3,76774.3,183341.6
2003-04-01,73890.0,23499.3,97389.3,11239.0,108628.3,81543.3,190171.6
2003-05-01,76892.0,25103.3,101995.3,13824.0,115819.3,79924.3,195743.6
2003-06-01,76479.3,23734.2,100213.5,13840.0,114053.5,80789.0,194842.5
2003-07-01,83187.0,23758.0,106945.0,12464.0,119409.0,83578.4,202987.4
2003-08-01,84965.0,23311.0,108276.0,13009.0,121285.0,86825.0,208110.0
2003-09-01,81184.0,27884.0,109068.0,13294.0,122362.0,89691.0,212053.0
2003-10-01,81670.0,27327.0,108997.0,12209.0,121206.0,89018.0,210224.0
2003-11-01,80639.0,26865.0,107504.0,12354.0,119858.0,91300.0,211158.0
2003-12-01,91997.0,31275.0,123272.0,10138.0,133410.0,100408.0,233818.0
2004-01-01,79128.0,27057.0,106185.0,13936.0,120121.0,100846.0,220967.0
2004-02-01,79685.4,26791.0,106476.4,12629.3,119105.7,102820.4,221926.1
2004-03-01,79535.0,26812.0,106347.0,13459.0,119806.0,106808.0,226614.0
2004-04-01,79166.0,28561.0,107727.0,12963.2,120690.2,105400.4,226090.6
2004-05-01,78757.0,29147.0,107904.0,14406.0,122310.0,105883.0,228193.0
2004-06-01,82252.695271,28854.964073,111107.659344,12252.768,123360.427344,109341.398182,232701.825526
2004-07-01,85967.713839,29079.940142,115047.653981,9651.754,124699.407981,118393.943266,243093.351247
2004-08-01,86831.247743,27778.335589,114609.583332,8784.675,123394.258332,123605.702416,246999.960748
2004-09-01,86345.254607,30996.881652,117342.136259,8792.173,126134.309259,127228.911118,253363.220376
2004-10-01,87637.743882,32235.247831,119872.991713,9340.831,129213.822713,128376.160981,257589.983694
2004-11-01,86275.463426,37285.062924,123560.52635,9899.638,133460.16435,131457.61905,264917.7834
2004-12-01,98568.700709,33844.825743,132413.526451,13304.372,145717.898451,140225.550798,285943.44925
2005-01-01,82130.918478,32778.308702,114909.22718,15588.036,130497.26318,139331.062532,269828.325712
2005-02-01,85019.461308,36136.134275,121155.595583,14082.741,135238.336583,133162.932987,268401.26957
2005-03-01,91414.72208,37263.171325,128677.893404,16802.249,145480.142404,133315.671706,278795.81411
