date,Cash_in_Circulation_Mln_AMD,Demand_Deposits_Dram_Mln_AMD,Money_Supply_M1_Mln_AMD,Time_Deposits_Dram_Mln_AMD,Money_Supply_M2_Mln_AMD,Deposits_FX_Mln_AMD,Money_Supply_M2X_Mln_AMD,Remittance_Inflow_Mln_AMD,Remittance_Inflow_Thousand_USD,Remittance_Inflow_NonCommercial_Mln_AMD,Remittance_Inflow_NonCommercial_Thousand_USD,Remittance_Outflow_Mln_AMD,Remittance_Outflow_Thousand_USD,Remittance_Outflow_NonCommercial_Mln_AMD,Remittance_Outflow_NonCommercial_Thousand_USD,Remittance_Net_Mln_AMD,Remittance_Net_Thousand_USD
2003-01-01,75101.46666666666,21637.866666666665,96739.33333333333,10610.333333333334,107349.66666666667,77309.53333333334,184659.19999999998,,,,,,,,,,
2003-04-01,75753.76666666666,24112.266666666666,99866.03333333333,12967.666666666666,112833.7,80752.2,193585.9,,,,,,,,,,
2003-07-01,83112.0,24984.333333333332,108096.33333333333,12922.333333333334,121018.66666666667,86698.13333333333,207716.80000000002,,,,,,,,,,
2003-10-01,84768.66666666667,28489.0,113257.66666666667,11567.0,124824.66666666667,93575.33333333333,218400.0,,,,,,,,,,
2004-01-01,79449.46666666666,26886.666666666668,106336.13333333335,13341.433333333334,119677.56666666667,103491.46666666667,223169.03333333333,,,,,,,,,,
2004-04-01,80058.56509033333,28854.321357666664,108912.88644799999,13207.322666666667,122120.20911466666,106874.93272733333,228995.14184199998,,,,,,,,,,
2004-07-01,86381.40539633333,29285.052461,115666.45785733334,9076.200666666666,124742.65852400001,123076.18560000001,247818.84412366667,,,,,,,,,,
2004-10-01,90827.30267233333,34455.04549933333,125282.34817133333,10848.280333333334,136130.62850466665,133353.11027633332,269483.7387813334,,,,,,,,,,
2005-01-01,86188.36728866668,35392.538100666665,121580.905389,15491.008666666667,137071.91405566668,135269.88907499998,272341.80313066667,,,,,,,,,,
2005-04-01,101953.921438,40399.82625466667,142353.74769233333,17788.827999999998,160142.57569233334,132180.77878366667,292323.354476,,,,,,,,,,
2005-07-01,121110.12022566667,47259.90360033334,168370.02382600002,18079.072666666667,186449.09649266666,148582.277279,335031.37377166667,,,,,,,,,,
2005-10-01,134128.822969,52657.611238000005,186786.43420699998,21490.362333333334,208276.79654033334,138623.13256,346899.9291003333,,,,,,,,,,
2006-01-01,130688.15175666667,54945.677959,185633.82971533333,23335.412666666667,208969.242382,146306.30488466666,355275.5472666666,,,,,,,,,,
2006-04-01,137401.804203,58436.22529333333,195838.029496,23539.1198,219377.14929633331,143015.74566766666,362392.8949636666,,,,,,,,,,
2006-07-01,162831.79598433335,67732.31892566667,230564.11491033333,26526.413333333334,257090.52824366666,137225.79719766666,394316.3254413333,,,,,,,,,,
2006-10-01,191339.82056866668,80506.40124666666,271846.22181533335,37693.602666666666,309539.824482,141365.51559333334,450905.3400753333,,,,,,,,,,
2007-01-01,197364.74964099997,89349.15215833334,286713.90179933334,51256.996666666666,337970.89846600004,132878.457959,470849.35642500006,,,,,,,,,,
2007-04-01,219220.19781066666,89525.51529200001,308745.713103,57709.08466666666,366454.79776966665,137485.27805833332,503940.0758283333,,,,,,,,,,
2007-07-01,256459.664287,103306.46704666667,359766.13133333327,76092.43733333334,435858.5686666667,133022.84436266668,568881.4130296666,,,,,,,,,,
2007-10-01,301462.3790326667,123268.72258233333,424731.101615,92812.05133333332,517543.15294833336,130365.03041366667,647908.183362,,,,,,,,,,
2008-01-01,306613.337369,122698.18516733334,429311.52253633336,112517.83718266666,541829.359719,131420.19610833333,673249.5558276667,,,,,,,,,,
2008-04-01,312326.94083,116110.409478,428437.3503076667,128979.779914,557417.1302216667,143145.36005666666,700562.490278,,,,,,,,,,
2008-07-01,335914.6462693334,120089.26277466665,456003.9090436667,141550.69311333334,597554.6021573334,151550.323185,749104.9253426666,,,,,,,,,,
2008-10-01,324367.548069,108789.17982466666,433156.72789366666,137308.41436099997,570465.1422546667,157491.80014333336,727956.9423976666,,,,,,,,,,
2009-01-01,238952.56243599998,86050.93508166667,325003.4975176667,81254.57303133333,406258.07054866664,236288.169349,642546.2398973334,,,,,,,,,,
2009-04-01,226787.63090333334,82165.892578,308953.52348133334,61150.74863733334,370104.2721186667,283311.3326396667,653415.6047586667,,,,,,,,,,
2009-07-01,256998.37678299999,100264.607715,357262.98449766665,64110.296629,421373.28112666664,314222.578899,735595.8600253332,,,,,,,,,,
2009-10-01,271343.19316900003,104261.88016333334,375605.073332,63133.84869866667,438738.92203066667,345828.37608799996,784567.2981186667,,,,,,,,,,
2010-01-01,251376.7044566667,98026.859773,349403.56422966666,61219.640967666666,410623.20519733336,386428.6981593333,797051.903357,,,,,,,,,,
2010-04-01,257559.78759766664,98467.816989,356027.6045866667,62438.205776333336,418465.81036266667,369206.23781699996,787672.0481796666,,,,,,,,,,
2010-07-01,273527.357942,107496.15843200001,381023.5163743333,68884.704415,449908.220789,357153.43419033336,807061.6549796667,,,,,,,,,,
2010-10-01,287902.8833263333,120222.25611333334,408125.13943966664,82630.10804133333,490755.2474806667,367711.724152,858466.971633,,,,,,,,,,
2011-01-01,276751.7719653333,119226.45548599999,395978.22745099996,99065.62603866665,495043.85348999995,403868.34956066665,898912.2030506666,,,,,,,,,,
2011-04-01,293711.595666,124761.18882433332,418472.78449066664,108683.189322,527155.9738126667,421565.2470686667,948721.2208816666,,,,,,,,,,
2011-07-01,319597.73530266667,144621.96888333335,464219.7041856667,122466.246626,586685.9508116667,429552.5876316666,1016238.5384433334,,,,,,,,,,
2011-10-01,334842.4936626667,154921.30465133334,489763.79831433337,136125.24250199998,625889.0408163333,454625.9287786667,1080514.9695953333,,,,,,,,,,
2012-01-01,319915.3244583334,155379.15878492,475294.4832432533,158333.33082732334,633627.8140705767,481455.6000746667,1115083.4141452333,,,,,,,,,,
2012-04-01,337284.808261,149498.50315765667,486783.31141865667,173585.80504474667,660369.1164634033,516369.55731614,1176738.6737795332,,,,,,,,,,
2012-07-01,354405.4061678,154339.60473392668,508745.0109017266,171931.00966654334,680676.02056827,560394.9357138866,1241070.9562821668,80141.811171,196632.64551,65940.005644,161878.257762,34041.824099,83340.673787,10150.841878,24827.047238,46099.987071999996,113291.971723
2012-10-01,368495.97252596664,162332.05942721668,530828.0319531834,185774.1884435533,716602.2203967366,591494.6728444534,1308096.8932412,91306.00366599999,224607.91400033332,67697.561491,166516.95221766667,31573.737452,77692.68390666666,11962.066270999998,29417.13321633333,59732.266214,146915.23009366667
2013-01-01,346007.51518123335,161284.316066,507291.8312472333,204736.31750924335,712028.1487564767,631613.0560701833,1343641.2048266667,57374.38599533334,140037.83992766668,41050.685094333334,100164.95405133332,25910.827740333334,63287.89195733333,9182.513135333333,22403.836514,31463.558255,76749.94797033333
2013-04-01,350376.2801746667,162796.58770851666,513172.86788318335,215775.92505951002,728948.7929426933,649513.7508952166,1378462.5438379,76577.32405966667,184563.6918556667,59860.636849,144283.31548066667,27871.859419666667,67162.58666833333,10979.881238666667,26462.726775333333,48705.46464,117401.10518733335
2013-07-01,359874.9843786333,170634.36154490334,530509.3459235366,221353.03785951997,751862.3837830567,680077.3288772133,1431939.7126602668,92850.13198433333,227092.20825400003,79036.07312666667,193320.60055166666,29474.302745333334,72107.09561599999,11143.175873666667,27262.72323866667,63375.829239000006,154985.11263800002
2013-10-01,365370.80285813333,190241.88429709667,555612.68715523,245735.64844659998,801348.3356018299,692923.6201747233,1494271.9557765666,87490.435021,215751.427715,74551.20311733334,183837.70438566667,33041.73986933333,81492.85484766668,12542.591086,30931.138388000003,54448.69515166667,134258.57286733334
2014-01-01,332656.99729166663,183934.95691163334,516591.9542033,275528.55988225667,792120.5140855567,723775.7953372333,1515896.3094228,57669.47928566666,140225.92873533335,45370.674349333334,110338.92918733333,27890.265076666667,67779.35259166667,11177.881751,27162.878664,29779.214208999998,72446.57614366668
