date,"Inflow mln, AMD","Inflow thousand, USD","Inflow of which non-commercial mln, AMD","Inflow of which non-commercial thousand, USD","Outflow mln, AMD","Outflow thousand, USD","Outflow of which non-commercial mln, AMD","Outflow of which non-commercial thousand, USD"
2012-09-01,80141.811171,196632.64551,65940.005644,161878.257762,34041.824099,83340.673787,10150.841878,24827.047238
2012-10-01,99263.507002,243972.215864,73120.940781,179781.685833,33001.952396,81180.929021,11687.498904,28738.680699
2012-11-01,85194.010842,209242.730873,66669.314169,163708.312384,29228.934717,71799.162617,12239.166403,30044.461378
2012-12-01,89460.493154,220608.795264,63302.429523,156060.858436,32490.325243,80097.960082,11959.533506,29468.257572
2013-01-01,45689.373492,112331.765783,32857.112071,80757.517178,24302.636575,59716.994366,7821.456997,19215.717218
2013-02-01,61232.972999,150463.637669,41056.030487,100882.36549,27197.658457,66845.66717,9081.119265,22308.991718
2013-03-01,65200.811495,157318.116331,49238.912725,118854.979486,26232.188189,63301.014336,10644.963144,25686.800606
2013-04-01,75743.972513,182054.383162,54667.240291,131437.082125,29438.013977,70747.740632,12087.766605,29057.806424
2013-05-01,73047.293304,175683.002918,58422.827219,140492.106383,29496.782332,70931.887278,10488.482476,25222.539265
2013-06-01,80940.706362,195953.689487,66491.843037,160920.757934,24680.78195,59808.132095,10363.394635,25107.834637
2013-07-01,101566.233676,247370.252391,83658.637191,203757.03551,28751.996795,70033.024052,10802.257069,26311.469839
2013-08-01,92671.095082,227464.522952,80365.43638,197270.339281,28961.525538,71079.929721,11022.089043,27053.254485
2013-09-01,84313.067195,206441.849419,73084.145809,178934.426864,30709.385903,75208.333075,11605.181509,28423.445392
2013-10-01,90591.728485,223042.259243,79218.074258,195042.066533,33303.351935,82006.70372,12119.131422,29838.310979
2013-11-01,82577.657135,203878.618404,68325.986882,168690.836022,33882.548358,83655.344693,11548.802301,28509.429246
2013-12-01,89301.919443,220333.405498,76109.548212,187780.210602,31939.319315,78816.51613,13959.839535,34445.674939
2014-01-01,49886.346038,122505.578865,40546.699856,99576.197813,22089.543461,54231.604835,8540.085773,20962.109393
2014-02-01,57095.121562,138716.465445,43541.743519,105777.324806,28989.355977,70416.53845,12070.120008,29320.098374
2014-03-01,66026.970257,159455.741896,52023.579673,125663.264943,32591.895792,78689.91449,12923.439472,31206.428225
2014-04-01,69354.737631,167410.879949,55226.622036,133305.810596,29774.066822,71871.438348,12569.580316,30339.454201
2014-05-01,72673.757634,175783.638349,59698.699967,144398.373979,26401.187617,63871.450946,10630.200293,25714.658223
2014-06-01,77863.007099,189507.843867,67444.125672,164132.255928,27177.585296,66143.081253,11887.647385,28924.701412
2014-07-01,95347.367897,235168.643155,78891.889888,194744.334302,35638.760569,87561.194449,12289.232772,30189.267348
2014-08-01,92692.150071,226352.57468,76049.861584,185739.426353,34896.362344,85210.606834,12171.865064,29724.837171
2014-09-01,83059.06824,203258.625733,69352.031286,169743.93781,31133.419233,76170.603806,10795.041443,26410.247173
2014-10-01,82334.3761,200865.915432,66245.471534,161625.38361,33519.432475,81732.859339,11538.985896,28146.587637
2014-11-01,59480.440928,141864.284279,48891.356709,116564.09532,28953.695098,69029.947123,11077.431289,26398.474671
2014-12-01,75288.530465,162724.648822,58863.41251,127287.202507,45728.679411,97889.750938,14948.123377,32230.828138
2015-01-01,34290.533173,72169.493278,25778.471103,54267.329713,20998.944264,44146.050655,8294.392907,17446.35008
2015-02-01,41875.684395,87505.064754,32600.853509,68113.186972,28688.658552,59965.159839,12845.067367,26843.696208
2015-03-01,54030.541486,113145.671646,40097.79478,83961.081536,29591.270649,61906.139141,15396.84685,32215.384664
2015-04-01,54443.626112,114735.496014,45518.899276,95910.394822,28019.7699,59089.209992,12710.138211,26801.380829
2015-05-01,63310.742863,131904.668731,51049.57499,106345.047104,28297.246269,58950.784223,10594.179068,22060.990994
2015-06-01,77528.297894,163224.497277,61033.243058,128537.925309,31486.692646,66251.628697,11745.614642,24722.229981
2015-07-01,85695.223158,179652.944419,65418.982093,137172.868849,30971.494205,64913.276094,12682.941846,26579.889671
2015-08-01,76694.375762,159778.638117,54977.388867,114665.611482,27530.005389,57364.910282,13170.092633,27443.782886
2015-09-01,81550.714792,169296.414301,52023.589273,108150.410962,30214.144899,62778.292493,14170.245302,29447.152165
2015-10-01,68390.937226,144660.08283,51594.642938,109122.322669,29635.509916,62691.878205,13761.521567,29109.955267
2015-11-01,61221.919085,127575.337783,47480.727,98924.072834,29682.415366,61815.21508,12778.555063,26612.460603
2015-12-01,81084.323079,168010.998635,53742.647079,111367.219086,48814.737751,101119.343475,15575.982163,32264.224621
2016-01-01,30377.926023,62515.960696,22736.204673,46787.913052,20667.586209,42519.080961,8455.716157,17391.826204
2016-02-01,50748.035474,102770.732498,30690.230474,62190.292026,33703.190767,68232.824764,11575.597347,23460.260538
2016-03-01,52473.705894,107931.616218,37397.118271,76846.133107,33928.28247,69837.470353,12320.022453,25311.026667
2016-04-01,50288.948414,104473.663532,39381.225845,81781.253492,31688.181192,65843.107014,11805.809519,24526.477142
2016-05-01,52382.293801,109514.079739,42595.718136,89050.896397,32309.911892,67555.515046,11736.051164,24536.002599
2016-06-01,64601.293294,135277.198833,51276.040041,107366.073284,25977.439068,54393.198878,11214.802054,23482.663233
2016-07-01,69368.316318,145594.691717,54796.441513,115013.904955,26857.753524,56365.210745,10658.492553,22370.56589
2016-08-01,69564.379109,146293.583564,57945.106175,121853.938258,28584.651788,60115.599973,12586.142171,26469.020182
2016-09-01,69622.317281,146837.718808,51744.063668,109121.998212,38031.73626,80207.527212,11778.783083,24840.933203
2016-10-01,64856.117556,136469.6443,51362.765914,108075.959125,36155.166138,76069.25944,12280.797717,25840.842852
2016-11-01,59142.624681,123631.79194,45905.188364,95959.364091,31960.325062,66817.439338,11698.818739,24453.111208
2016-12-01,102189.733994,211572.20547,56732.127419,117462.744199,52670.050156,109025.467839,15068.88284,31205.644981
2017-01-01,40981.629752,84327.959151,28893.441245,59450.488878,20727.519711,42647.113915,7790.142561,16027.932297
2017-02-01,49216.803136,101145.32209,34637.821484,71184.316733,32281.651496,66352.486825,10471.337132,21521.733828
2017-03-01,61815.943534,127486.505217,42036.359775,86674.951075,36127.780109,74501.914812,13346.885855,27519.189843
