date,Idram,Telcell,Rate.am,MoneyGram,Wildberries,List.am,Auto.am,Estate.am,վարկ,բնակարան,աշխատանք,փոխարժեք
2018-01-01,5,0,1,0,0,35,8,0,0,1,3,0
2018-02-01,4,0,2,0,0,38,8,0,0,1,3,0
2018-03-01,4,0,2,0,0,37,8,0,1,1,3,0
2018-04-01,4,0,3,0,0,25,6,0,0,1,2,0
2018-05-01,4,0,3,0,0,29,7,0,0,1,4,0
2018-06-01,4,1,2,0,0,26,7,0,1,1,3,0
2018-07-01,4,0,2,0,0,26,7,0,0,1,3,0
2018-08-01,4,0,3,0,0,27,8,0,0,2,4,1
2018-09-01,4,0,3,0,0,25,7,0,1,1,4,0
2018-10-01,4,0,3,0,0,24,7,0,0,1,4,0
2018-11-01,4,0,3,0,0,24,7,0,1,1,4,0
2018-12-01,4,1,2,0,0,22,5,0,1,1,3,0
2019-01-01,6,1,2,0,0,25,5,0,1,1,4,0
2019-02-01,4,0,2,0,1,25,6,0,1,1,5,0
2019-03-01,4,0,3,0,1,26,7,0,1,2,4,0
2019-04-01,5,0,4,0,2,34,8,1,1,1,4,0
2019-05-01,4,0,3,0,2,27,7,0,1,1,5,0
2019-06-01,4,0,3,0,3,27,5,0,1,2,5,0
2019-07-01,4,1,4,0,3,24,6,0,1,2,4,0
2019-08-01,4,1,4,0,3,27,8,0,1,3,4,0
2019-09-01,3,0,4,0,4,29,8,1,1,2,4,0
2019-10-01,3,0,3,0,4,27,7,0,1,2,5,0
2019-11-01,4,2,3,0,7,26,6,0,1,2,5,0
2019-12-01,4,2,4,0,8,26,6,0,1,1,4,0
2020-01-01,4,2,3,0,7,30,6,0,1,2,5,0
2020-02-01,3,2,3,0,8,32,5,0,1,2,6,0
2020-03-01,4,1,10,0,6,26,4,0,1,2,4,1
2020-04-01,5,1,5,0,6,23,3,0,1,1,4,1
2020-05-01,4,1,4,0,7,34,4,0,1,2,6,1
2020-06-01,4,1,4,0,6,35,4,0,1,2,7,1
2020-07-01,4,1,3,0,6,35,4,0,1,2,7,1
2020-08-01,5,1,4,0,7,41,5,0,1,3,7,1
2020-09-01,4,1,3,0,7,31,4,0,1,2,6,1
2020-10-01,4,1,3,0,6,20,2,0,0,1,5,1
2020-11-01,4,1,4,0,10,26,3,0,0,2,6,2
2020-12-01,6,1,7,0,12,30,3,0,1,1,6,3
2021-01-01,5,1,4,0,11,36,4,0,1,2,6,1
2021-02-01,5,1,4,0,10,29,3,0,1,2,6,1
2021-03-01,5,1,3,0,10,28,3,0,1,2,7,2
2021-04-01,5,1,4,0,10,24,3,0,1,2,6,2
2021-05-01,4,1,3,0,10,24,3,0,1,2,6,1
2021-06-01,5,1,4,0,9,23,3,0,0,2,5,1
2021-07-01,5,1,3,0,13,26,3,0,1,3,5,2
2021-08-01,5,1,3,0,17,25,3,0,1,4,6,1
2021-09-01,4,1,2,0,16,23,2,0,1,3,5,1
2021-10-01,4,1,2,0,20,25,3,0,1,2,5,1
2021-11-01,4,1,2,0,24,24,2,0,1,2,6,1
2021-12-01,4,1,3,0,22,23,3,0,1,2,5,1
2022-01-01,4,1,3,0,22,24,3,0,1,3,5,1
2022-02-01,5,1,5,0,21,21,3,0,1,2,7,2
2022-03-01,4,1,9,1,24,22,2,0,1,2,7,5
2022-04-01,4,1,6,0,15,22,2,0,1,3,7,3
2022-05-01,5,1,8,0,12,25,2,0,1,3,7,5
2022-06-01,4,1,8,0,14,23,3,0,1,3,6,5
2022-07-01,4,1,8,0,13,25,2,0,1,3,6,4
2022-08-01,3,1,6,0,16,26,3,0,1,3,6,3
2022-09-01,3,1,5,0,13,19,2,0,0,2,6,2
2022-10-01,3,1,5,0,16,21,2,0,1,3,6,2
2022-11-01,3,1,4,0,20,21,2,0,1,2,7,2
2022-12-01,4,2,4,0,20,18,2,0,1,2,6,2
2023-01-01,3,1,4,0,22,22,2,0,1,3,7,2
