model,stage,n_obs,mape,mae,rmse,coverage_50,coverage_90,avg_width_50,avg_width_90
EarlyShockAdjusted,Early,61,2.6579089216432874,2.809633568687139,3.633079875892469,0.4716981132075472,0.7924528301886793,4.069769186274017,11.102459344483835
ElasticNet,Early,61,2.6961251200122294,2.7861165874522307,3.9146539520252968,0.32075471698113206,0.7924528301886793,3.4599999156590124,9.904414595451263
AdaptiveEnsemble,Early,61,2.8912682514185017,3.0002183052638913,4.175639394845101,0.3018867924528302,0.7547169811320755,3.1241532314279885,10.847642435529172
Shadow,Early,61,3.00579872574497,3.1103814044955547,4.489730647763658,0.4339622641509434,0.7924528301886793,4.1628546165243066,10.245810090328984
ShockSwitch,Early,61,3.0925273524404044,3.2162599464189428,4.248612473513918,0.24528301886792453,0.7358490566037735,3.7697075317628954,9.900830068272992
AR,Early,61,3.114999000351473,3.2217196887729127,4.317693594131337,0.5660377358490566,0.9245283018867925,6.596841847605747,13.937410821282395
EarlyShockBridge,Early,61,3.2164997095206975,3.322265673733261,4.430222756809504,0.4528301886792453,0.8679245283018868,4.613255403343072,12.832846580994191
Bridge,Early,61,3.326951523956239,3.4636873771829375,4.487610416282411,0.32075471698113206,0.7169811320754716,4.147887548802929,10.532217990904424
RandomForest,Early,61,3.412266812255241,3.55241182510986,4.548642581876837,0.4716981132075472,0.8679245283018868,5.715301376671412,14.364986415910021
GradientBoosting,Early,61,3.572329699416494,3.713790400165722,4.602803058398436,0.5283018867924528,0.9245283018867925,6.854970261405506,14.9499567234315
DFM,Early,61,3.857550834211623,3.9503883774436432,5.212243838071039,0.41509433962264153,0.8679245283018868,5.800648810197473,14.736075854316029
DFMShockAdjusted,Early,61,3.857550834211623,3.9503883774436432,5.212243838071039,0.41509433962264153,0.8679245283018868,5.800648810197473,14.736075854316029
SimpleEnsemble,Early,61,4.634950335970482,4.86048641395061,6.846514825953484,0.20754716981132076,0.7547169811320755,4.98161926085707,14.135727408485845
FactorAugmentedPCA,Early,61,5.371940775795795,5.647599379741173,7.200020206781467,0.33962264150943394,0.6981132075471698,6.36224279340463,16.360232230810844
Huber,Early,61,11.724636558558847,12.391137418877783,19.160341796601678,0.37735849056603776,0.6792452830188679,9.816965790384817,34.32319562554114
AdaptiveEnsemble,Late,61,2.5043511518766124,2.5959029323599383,3.42647980274879,0.41509433962264153,0.8490566037735849,3.47594793721002,10.00630564017991
Shadow,Late,61,2.5062618456044694,2.607581269343956,3.4438771443742255,0.49056603773584906,0.7924528301886793,3.841666721170532,8.90405390985688
ElasticNet,Late,61,2.696779674105643,2.785877569561888,3.586616966687888,0.4716981132075472,0.8490566037735849,4.581987333545955,9.382027228083112
ShockSwitch,Late,61,2.907153331007411,3.026598871860431,4.055854383041836,0.39622641509433965,0.7924528301886793,3.929136580268119,9.074115392539145
RandomForest,Late,61,3.0597306062820566,3.1739279531597973,4.234717176356663,0.4339622641509434,0.8301886792452831,4.714366555705364,12.348415427436843
DFMShockAdjusted,Late,61,3.1559229624099476,3.27896982925795,4.0906442376729215,0.5660377358490566,0.8867924528301887,6.558181552794649,13.656362650783139
Bridge,Late,61,3.1646312836115045,3.296405980323475,4.502041838856413,0.32075471698113206,0.7358490566037735,4.014203146986781,9.279144530597339
AR,Late,61,3.1700051359486876,3.280282383005543,4.33539639431431,0.5471698113207547,0.9245283018867925,6.494038674010183,14.437169390925973
SimpleEnsemble,Late,61,3.1739602320548714,3.2908231614253927,3.9841751803241885,0.4528301886792453,0.9056603773584906,5.083626779744663,12.333850245830693
GradientBoosting,Late,61,3.4595381204743303,3.5892825919303735,4.599740897182665,0.4528301886792453,0.8867924528301887,5.692762268197249,14.798328593505033
DFM,Late,61,3.7813517114249673,3.8245698774028547,5.466793552631685,0.4528301886792453,0.8679245283018868,5.439197939779057,14.912513646824294
FactorAugmentedPCA,Late,61,4.587305535969631,4.799626834492345,5.928167821555421,0.37735849056603776,0.7735849056603774,7.138716960734285,16.55954561557051
Huber,Late,61,5.235530438525316,5.425048000323546,7.624943960404643,0.5283018867924528,0.8679245283018868,7.412463359446112,19.60996577885002
AdaptiveEnsemble,Mid,61,2.7084536455035884,2.8090451514442085,3.7775885816554933,0.41509433962264153,0.8490566037735849,4.082138608663791,11.915457953717628
ElasticNet,Mid,61,3.008949624255856,3.121049368496744,4.222038615763315,0.6226415094339622,0.9245283018867925,5.413098842484048,14.407766160987867
RandomForest,Mid,61,3.1253717699351435,3.2448629121476706,4.428559220150772,0.4339622641509434,0.9245283018867925,4.280830957079761,15.066042042116742
ShockSwitch,Mid,61,3.1389796658850915,3.2644640366557924,4.278894122117084,0.41509433962264153,0.8113207547169812,4.182686401775549,12.069774853308786
SimpleEnsemble,Mid,61,3.146162811337609,3.2740270324331373,4.033530704100089,0.6415094339622641,0.9433962264150944,7.031738816153254,14.177086466860786
AR,Mid,61,3.2450186824380003,3.3288478453788337,4.551110683449587,0.5660377358490566,0.9245283018867925,6.568075186493282,13.58386354962225
GradientBoosting,Mid,61,3.2873776282698115,3.41052033614474,4.393914397562808,0.5849056603773585,0.8867924528301887,5.985835313802783,14.686275759462731
Shadow,Mid,61,3.325449203571949,3.4215416553028546,6.342759862095117,0.4339622641509434,0.7735849056603774,3.997351875419074,9.741951754391765
Bridge,Mid,61,3.3555947498886423,3.491617405871645,4.611704412858682,0.3584905660377358,0.7547169811320755,4.043758633593929,12.090238478745153
DFMShockAdjusted,Mid,61,3.4755293365778126,3.61722239427436,4.467403829174624,0.41509433962264153,0.8679245283018868,6.614534290105415,13.804705055049887
DFM,Mid,61,4.109786062221246,4.196482256728302,5.592855088677017,0.41509433962264153,0.8301886792452831,7.049898904946842,14.62038714839332
FactorAugmentedPCA,Mid,61,5.273219274723262,5.523051444658852,6.998291266403882,0.32075471698113206,0.7547169811320755,6.568330652089789,17.547062869699452
Huber,Mid,61,7.946964733233418,8.258638957924195,12.047307302536034,0.660377358490566,0.9245283018867925,15.013329258364724,36.324539280089716
