model,stage,n_obs,mape,mae,rmse,shock_mape,non_shock_mape,focus_quarter_mape,early_covid_mape,post_2022_mape,prediction_bias,overprediction_rate,underprediction_rate
StackingNowcast,Early,61,2.395465147042738,2.471784788528906,3.5287636428466778,3.6659798053636594,1.9811668888946123,8.672127489506073,7.01604078244498,1.7314051484883368,0.07504032380826943,0.45901639344262296,0.5409836065573771
AdaptiveEnsemble,Early,61,2.4492939685613377,2.5279987648968842,3.5991226310504674,3.6087264988391743,2.071218143470738,9.040267802049954,6.855889314718529,1.6076370004178162,0.04172242118718851,0.45901639344262296,0.5409836065573771
EarlyShockAdjusted,Early,61,2.655980959675218,2.7779734116605415,3.665001196901783,3.4352153510821837,2.4018827885642504,7.065386665803729,5.344611217139153,1.8916734475671375,0.7257327398546203,0.4098360655737705,0.5901639344262295
ElasticNet,Early,61,2.740605693361753,2.8276048920196515,3.903075526273836,4.286805974314655,2.2364099495727623,7.996278970600466,7.554692056200281,2.1088058261387537,-0.9691437905398493,0.5901639344262295,0.4098360655737705
SimpleEnsemble,Early,61,2.852740070207083,2.9521478607749954,3.8946138910119306,4.058166652018323,2.4596661848338535,9.225248321993586,7.552652829383057,1.9962842708402269,0.4591712618846533,0.4426229508196721,0.5573770491803278
RandomForest,Early,61,2.9714520669660756,3.0896280737169945,4.223511573056228,4.470966922225185,2.4824798315554952,10.035416946497428,7.4022979692733255,2.3410912472795498,0.9038959237431748,0.3770491803278688,0.6229508196721312
Shadow,Early,61,3.00579872574497,3.1103814044955547,4.489730647763658,5.1552640167152255,2.3048861308633652,8.945616498485983,8.88165431043058,2.6518725552677416,0.038950080174836525,0.47540983606557374,0.5245901639344263
AR,Early,61,3.117243156361031,3.224939982679936,4.245848446763218,3.73044028147299,2.917287572085392,8.601411939263201,5.327793701779199,1.7746036512449064,-1.6390650771927389,0.7868852459016393,0.21311475409836064
ShockSwitch,Early,61,3.2729517782157616,3.3621366720739254,4.970752599707341,5.355464485105717,2.593871547708168,5.630189103849843,11.11722753032615,2.5277447434181206,-1.3819348614433877,0.5901639344262295,0.4098360655737705
MIDAS,Early,61,3.2993281183845244,3.4131327433175107,4.751584142444708,4.966915165339137,2.7555497335080217,7.2098750040512165,8.834596899660973,2.3768662690094717,-1.3474747551758082,0.6065573770491803,0.39344262295081966
LightGBM,Early,61,3.4197370318365796,3.5563720016534166,4.457362770085534,4.301641103537938,3.132159617151354,9.375089211971927,7.2694833844431574,2.4212171389923496,0.9594578638592265,0.4098360655737705,0.5901639344262295
GradientBoosting,Early,61,3.5747187925159167,3.6974894318098657,4.724118509207136,5.038660358281125,3.0973465428098703,9.494208158904542,9.973707024419069,2.4356896230169363,0.9424750504760622,0.4262295081967213,0.5737704918032787
Bridge,Early,61,3.584909703196141,3.6791224059867758,5.548729567986412,5.895414924946402,2.831484087408013,5.096968326353137,12.65752419131716,2.783531232184931,-1.5195318850779007,0.5901639344262295,0.4098360655737705
DFM,Early,61,4.278063975332195,4.403320837730439,5.469470981005732,6.6146372169121825,3.5161379182952435,8.393654625778174,11.688107775103443,3.9309731612207788,-3.6300715330463404,0.8360655737704918,0.16393442622950818
DFMShockAdjusted,Early,61,4.278063975332195,4.403320837730439,5.469470981005732,6.6146372169121825,3.5161379182952435,8.393654625778174,11.688107775103443,3.9309731612207788,-3.6300715330463404,0.8360655737704918,0.16393442622950818
EarlyShockBridge,Early,61,5.058407425004351,5.323701715062472,16.34987339407657,3.342669072438366,5.617887322580217,6.838374675239164,7.131410371652584,1.9462807012383323,-2.1948848186185335,0.47540983606557374,0.5245901639344263
Huber,Early,61,24.525776084919908,26.376044855726477,92.99585753818585,18.35487106181274,26.538027722889634,19.228735907652414,7.740613733077677,19.97157263073919,-7.019823196208798,0.4426229508196721,0.5573770491803278
StackingNowcast,Late,61,1.8684235640676758,1.941786914317288,2.7806098189567594,2.211490391575862,1.6607778526811425,6.028087577031795,,1.1684717661248385,0.141926296199883,0.4918032786885246,0.5081967213114754
AdaptiveEnsemble,Late,61,2.1395782905592973,2.202730624719723,3.0716034583801948,2.7429435156031636,1.7743835490853777,6.949851582299994,,1.3650194767372703,0.00704704988175203,0.4918032786885246,0.5081967213114754
Shadow,Late,61,2.5062618456044694,2.607581269343956,3.4438771443742255,3.5366371278606716,1.8826136484494,5.630397529156848,,2.705786993165148,-0.3837570962772298,0.6065573770491803,0.39344262295081966
SimpleEnsemble,Late,61,2.7323406542519093,2.828298434222199,3.7606799317250448,3.2625787666348636,2.411407059914857,8.598695225501057,,1.8868696264254037,0.6170445812588129,0.4098360655737705,0.5901639344262295
DFMShockAdjusted,Late,61,2.875614495765676,2.9714283992369293,3.7541536991282762,2.4701945150339895,3.1210002735769597,3.7826581875239538,,1.577112716745053,-1.753642247199686,0.7377049180327869,0.26229508196721313
ElasticNet,Late,61,2.884276798924849,2.98348928902809,3.8586890492174115,3.1480751571783783,2.72460937156087,7.223046175933164,,2.038239972283446,-0.21274232786249675,0.4918032786885246,0.5081967213114754
RandomForest,Late,61,2.915695470813447,3.028169075264221,4.120246696636113,3.8188598646988807,2.369043337672263,9.78110298005007,,2.117532754592271,1.0283631787739447,0.32786885245901637,0.6721311475409836
LightGBM,Late,61,2.928042699921134,3.0428208730080373,4.101562749728685,3.2697231012387395,2.721236141228899,8.868525718032341,,1.806020706630318,0.806956548720976,0.4262295081967213,0.5737704918032787
MIDAS,Late,61,2.9479816329383217,3.0554297345848127,3.9071023091087036,3.2871016510490567,2.742724779871299,6.698567309532975,,1.7333844895078139,0.0689243817640255,0.5081967213114754,0.4918032786885246
ShockSwitch,Late,61,2.9990467132122833,3.0813217830854116,4.579353325958078,4.283622977360812,2.221540027017121,5.108839057431075,,2.3331557911210967,-1.270134230718098,0.5737704918032787,0.4262295081967213
AR,Late,61,3.1732334785760288,3.2832997157148265,4.303983431116182,3.5138217282828887,2.967087959016613,8.45850321107021,,1.7498516195711336,-1.579045391050955,0.7540983606557377,0.2459016393442623
GradientBoosting,Late,61,3.2794811656013807,3.4095643570183825,4.666413957914901,3.253273233916831,3.2953438610946604,8.522106027988647,,2.199710480658793,0.8456009254028287,0.5245901639344263,0.47540983606557374
Bridge,Late,61,3.4308886541154475,3.5258581419345028,5.388590797800043,5.130640331478745,2.402091586237661,4.997176648273023,,3.0400811306387574,-1.6225981983366313,0.5737704918032787,0.4262295081967213
DFM,Late,61,3.7916107972210433,3.8768638884095212,5.035934461224821,4.899576010198226,3.1210002735769597,6.6685897344423575,,2.8892338548071415,-3.58416502246595,0.8688524590163934,0.13114754098360656
Huber,Late,61,6.4338377528549335,6.758700452064696,9.473266083511811,5.33715195686423,7.097621260954571,8.843726144676362,,4.564220806030955,0.5942234182670305,0.45901639344262296,0.5409836065573771
StackingNowcast,Mid,61,2.381494880926422,2.4469246295526745,3.529583550700043,2.677488694071697,2.1894988940213786,7.408455992179338,,1.2282699833797874,0.10566583980939505,0.45901639344262296,0.5409836065573771
AdaptiveEnsemble,Mid,61,2.501733010026866,2.5855873935824376,3.5515014685942767,2.6055802443335834,2.4343726418279155,7.437590660459619,,1.3158768998700412,0.515730916129539,0.36065573770491804,0.639344262295082
SimpleEnsemble,Mid,61,2.783074727560886,2.893478063752021,3.8411223222012203,2.816121240444405,2.761639151636441,8.365540437652712,,1.65484695540234,0.9628562418587244,0.3770491803278688,0.6229508196721312
RandomForest,Mid,61,2.964059533996367,3.0764492275448356,4.203745569254985,3.6897741853327743,2.4933257061024814,9.822491047099179,,2.177194576741229,1.026557211937228,0.32786885245901637,0.6721311475409836
ElasticNet,Mid,61,2.9842993363017287,3.0974679856957135,4.110587274801158,2.5051767781416268,3.295081536189362,6.397921758984542,,1.5231849740737604,0.501827666799246,0.47540983606557374,0.5245901639344263
LightGBM,Mid,61,3.019522875895337,3.131078981339779,4.187302606867423,3.160659215694214,2.9279749798095795,9.054286010540304,,1.9730764146419997,1.072954716017752,0.32786885245901637,0.6721311475409836
AR,Mid,61,3.2450186824380003,3.3288478453788337,4.551110683449587,3.671260595203256,2.968537441725401,10.095550634105884,,1.5341860775732126,-1.8469055436721125,0.8360655737704918,0.16393442622950818
GradientBoosting,Mid,61,3.3070789112968115,3.4480406993093973,4.778683940066743,3.082613505532476,3.452678093414219,8.971792507275188,,1.7542021743231668,1.2500853726806658,0.3442622950819672,0.6557377049180327
ShockSwitch,Mid,61,3.3120175463787334,3.411154481182386,4.835313121056944,3.896330282304982,2.9330038798319773,4.679416261847674,,2.32577890652869,-0.8466335024913809,0.5573770491803278,0.4426229508196721
Shadow,Mid,61,3.325449203571949,3.4215416553028546,6.342759862095117,3.2906090953910443,3.3480481926622643,6.46061488382303,,2.7173823024096757,-0.4963748299790954,0.5081967213114754,0.4918032786885246
DFMShockAdjusted,Mid,61,3.342673436907201,3.464392980723176,4.41581254078674,3.0240913958217615,3.5493212473409996,7.296324864130495,,2.043034326830269,-2.1358733050898224,0.7704918032786885,0.22950819672131148
MIDAS,Mid,61,3.514436679119888,3.654246946855441,4.803173269797726,2.9760748043104557,3.8636443816989785,6.707594625983633,,1.8171418135749728,0.7463224937892491,0.4426229508196721,0.5573770491803278
Bridge,Mid,61,3.659296162091425,3.7658343676671655,5.684198143212015,4.595106138926997,3.0522842852251073,4.616377613250403,,2.8032068546576916,-1.2961205589215898,0.5737704918032787,0.4262295081967213
DFM,Mid,61,4.608428929403164,4.731389983646764,6.089641345217966,6.241219939249003,3.5493212473409996,11.379798263918973,,4.04055179085174,-4.258505910634501,0.8852459016393442,0.11475409836065574
Huber,Mid,61,9.283657428836841,9.631517206465922,13.145352637875234,7.4921000766776515,10.445748684291448,13.203185092155218,,5.3550648574985225,2.610180142854221,0.4098360655737705,0.5901639344262295
