state_date,state_step,factor_1,factor_2,prediction_date,target_quarter,stage,cutoff_month,fallback_used
,0,3.2738887081342978,-0.0021268010606649707,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,1,3.2742445447178814,-0.131106635264716,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,2,3.243562194430429,-0.44431509186948526,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,3,3.196031110636112,-0.4755533144590507,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,4,3.200196949217891,-0.5599169081067753,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,5,3.1557901625299327,-0.6344243525947455,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,6,3.0013800117517997,-0.5490110644578197,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,7,3.021710711933109,-0.7977484992410239,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,8,2.934086976775488,-1.1414019149290153,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,9,3.003678013802154,-1.4069710540370166,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,10,2.8686841638311695,-1.5672721014814792,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,11,2.7300546276010405,-1.7803759905787722,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,12,2.651179494339413,-1.6515084581477344,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,13,2.599519549751689,-1.5890580091199416,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,14,2.6981507934069358,-1.0065340348095901,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,15,2.4580019433579077,-0.4906724853016379,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,16,2.2265248424732023,-0.4982892341652567,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,17,2.19152734226776,-0.39352815956714926,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,18,1.998697407554398,-0.4576282619284182,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,19,1.9324609493072635,-0.5271599196533782,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,20,1.8719292799427705,0.050334174211154936,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,21,1.9028849402529906,-0.21686003588428793,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,22,1.6763824771536777,0.3099959735322151,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,23,1.4145470466056094,0.19273043212774188,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
