model,horizon,n_obs,mae,mape
Ridge,avg_1_to_3,153,3.8126358800156144,3.7162340296431307
RandomForest,avg_1_to_3,153,3.977788762107816,3.8258177316752495
StackingForecast,avg_1_to_3,153,4.0526157672935845,3.9596888233617733
ElasticNet,avg_1_to_3,153,4.1054422871995255,4.019592846978085
Ridge,1,51,3.35987115897037,3.2707079764855744
Ridge,2,51,3.9620425409747995,3.868119620724304
Ridge,3,51,4.115993940101673,4.009874491719513
ElasticNet,1,51,3.8208850695213026,3.722701689144602
ElasticNet,2,51,4.193997115286702,4.123580789295163
ElasticNet,3,51,4.30144467679057,4.212496062494491
RandomForest,1,51,3.303348813752622,3.1559820754089727
RandomForest,2,51,4.1294819288224405,3.980851139376414
RandomForest,3,51,4.500535543748386,4.340619980240362
StackingForecast,1,51,3.3923502892203388,3.3058107838437807
StackingForecast,2,51,4.357019542972887,4.26819580241163
StackingForecast,3,51,4.4084774696875275,4.30505988382991
