family,model,stage,mape,mae,rmse,shock_mape,non_shock_mape
Combination,StackingNowcast,Early,2.395465147042738,2.471784788528906,3.5287636428466778,3.6659798053636594,1.9811668888946123
Combination,AdaptiveEnsemble,Early,2.4492939685613377,2.5279987648968842,3.5991226310504674,3.6087264988391743,2.071218143470738
Combination,SimpleEnsemble,Early,2.852740070207083,2.9521478607749954,3.8946138910119306,4.058166652018323,2.4596661848338535
Combination,ShockSwitch,Early,3.2729517782157616,3.3621366720739254,4.970752599707341,5.355464485105717,2.593871547708168
Combination,StackingNowcast,Late,1.8684235640676758,1.941786914317288,2.7806098189567594,2.211490391575862,1.6607778526811425
Combination,AdaptiveEnsemble,Late,2.1395782905592973,2.202730624719723,3.0716034583801948,2.7429435156031636,1.7743835490853777
Combination,SimpleEnsemble,Late,2.7323406542519093,2.828298434222199,3.7606799317250448,3.2625787666348636,2.411407059914857
Combination,ShockSwitch,Late,2.9990467132122833,3.0813217830854116,4.579353325958078,4.283622977360812,2.221540027017121
Combination,StackingNowcast,Mid,2.381494880926422,2.4469246295526745,3.529583550700043,2.677488694071697,2.1894988940213786
Combination,AdaptiveEnsemble,Mid,2.501733010026866,2.5855873935824376,3.5515014685942767,2.6055802443335834,2.4343726418279155
Combination,SimpleEnsemble,Mid,2.783074727560886,2.893478063752021,3.8411223222012203,2.816121240444405,2.761639151636441
Combination,ShockSwitch,Mid,3.3120175463787334,3.411154481182386,4.835313121056944,3.896330282304982,2.9330038798319773
ML,EarlyShockAdjusted,Early,2.655980959675218,2.7779734116605415,3.665001196901783,3.4352153510821837,2.4018827885642504
ML,ElasticNet,Early,2.740605693361753,2.8276048920196515,3.903075526273836,4.286805974314655,2.2364099495727623
ML,RandomForest,Early,2.9714520669660756,3.0896280737169945,4.223511573056228,4.470966922225185,2.4824798315554952
ML,Shadow,Early,3.00579872574497,3.1103814044955547,4.489730647763658,5.1552640167152255,2.3048861308633652
ML,LightGBM,Early,3.4197370318365796,3.5563720016534166,4.457362770085534,4.301641103537938,3.132159617151354
ML,GradientBoosting,Early,3.5747187925159167,3.6974894318098657,4.724118509207136,5.038660358281125,3.0973465428098703
ML,EarlyShockBridge,Early,5.058407425004351,5.323701715062472,16.34987339407657,3.342669072438366,5.617887322580217
ML,Huber,Early,24.525776084919908,26.376044855726477,92.99585753818585,18.35487106181274,26.538027722889634
ML,Shadow,Late,2.5062618456044694,2.607581269343956,3.4438771443742255,3.5366371278606716,1.8826136484494
ML,ElasticNet,Late,2.884276798924849,2.98348928902809,3.8586890492174115,3.1480751571783783,2.72460937156087
ML,RandomForest,Late,2.915695470813447,3.028169075264221,4.120246696636113,3.8188598646988807,2.369043337672263
ML,LightGBM,Late,2.928042699921134,3.0428208730080373,4.101562749728685,3.2697231012387395,2.721236141228899
ML,GradientBoosting,Late,3.2794811656013807,3.4095643570183825,4.666413957914901,3.253273233916831,3.2953438610946604
ML,Huber,Late,6.4338377528549335,6.758700452064696,9.473266083511811,5.33715195686423,7.097621260954571
ML,RandomForest,Mid,2.964059533996367,3.0764492275448356,4.203745569254985,3.6897741853327743,2.4933257061024814
ML,ElasticNet,Mid,2.9842993363017287,3.0974679856957135,4.110587274801158,2.5051767781416268,3.295081536189362
ML,LightGBM,Mid,3.019522875895337,3.131078981339779,4.187302606867423,3.160659215694214,2.9279749798095795
ML,GradientBoosting,Mid,3.3070789112968115,3.4480406993093973,4.778683940066743,3.082613505532476,3.452678093414219
ML,Shadow,Mid,3.325449203571949,3.4215416553028546,6.342759862095117,3.2906090953910443,3.3480481926622643
ML,Huber,Mid,9.283657428836841,9.631517206465922,13.145352637875234,7.4921000766776515,10.445748684291448
Structural,AR,Early,3.117243156361031,3.224939982679936,4.245848446763218,3.73044028147299,2.917287572085392
Structural,MIDAS,Early,3.2993281183845244,3.4131327433175107,4.751584142444708,4.966915165339137,2.7555497335080217
Structural,Bridge,Early,3.584909703196141,3.6791224059867758,5.548729567986412,5.895414924946402,2.831484087408013
Structural,DFM,Early,4.278063975332195,4.403320837730439,5.469470981005732,6.6146372169121825,3.5161379182952435
Structural,DFMShockAdjusted,Early,4.278063975332195,4.403320837730439,5.469470981005732,6.6146372169121825,3.5161379182952435
Structural,DFMShockAdjusted,Late,2.875614495765676,2.9714283992369293,3.7541536991282762,2.4701945150339895,3.1210002735769597
Structural,MIDAS,Late,2.9479816329383217,3.0554297345848127,3.9071023091087036,3.2871016510490567,2.742724779871299
Structural,AR,Late,3.1732334785760288,3.2832997157148265,4.303983431116182,3.5138217282828887,2.967087959016613
Structural,Bridge,Late,3.4308886541154475,3.5258581419345028,5.388590797800043,5.130640331478745,2.402091586237661
Structural,DFM,Late,3.7916107972210433,3.8768638884095212,5.035934461224821,4.899576010198226,3.1210002735769597
Structural,AR,Mid,3.2450186824380003,3.3288478453788337,4.551110683449587,3.671260595203256,2.968537441725401
Structural,DFMShockAdjusted,Mid,3.342673436907201,3.464392980723176,4.41581254078674,3.0240913958217615,3.5493212473409996
Structural,MIDAS,Mid,3.514436679119888,3.654246946855441,4.803173269797726,2.9760748043104557,3.8636443816989785
Structural,Bridge,Mid,3.659296162091425,3.7658343676671655,5.684198143212015,4.595106138926997,3.0522842852251073
Structural,DFM,Mid,4.608428929403164,4.731389983646764,6.089641345217966,6.241219939249003,3.5493212473409996
