model,stage,mean_residual,median_residual,mean_residual_shock,mean_residual_non_shock,overprediction_share_shock,underprediction_share_shock
AR,Early,-1.6193929460451981,-1.5772894637229626,-0.3632344056619445,-2.0290098613875633,0.6,0.4
AdaptiveEnsemble,Early,0.06140629701861901,0.24840827510755048,-0.21257537065307208,0.15074814517243132,0.4666666666666667,0.5333333333333333
Bridge,Early,-1.49985975393036,-0.8344754465943254,-3.954715150389249,-0.6993634289981135,0.7333333333333333,0.26666666666666666
DFM,Early,-3.7749176084242797,-3.566529433938811,-6.138826276657847,-3.0040778253046385,0.9333333333333333,0.06666666666666667
DFMShockAdjusted,Early,-3.7749176084242797,-3.566529433938811,-6.138826276657847,-3.0040778253046385,0.9333333333333333,0.06666666666666667
EarlyShockAdjusted,Early,0.745404871002161,0.5884053692885374,0.12804725058871896,0.9467171385282834,0.5333333333333333,0.4666666666666667
EarlyShockBridge,Early,-2.1752126874709927,0.4936056755390297,-1.4931319866597497,-2.3976303073007466,0.5333333333333333,0.4666666666666667
ElasticNet,Early,-0.9494716593923086,-0.7208863073112752,-2.1198908253452147,-0.5678132357120131,0.6666666666666666,0.3333333333333333
GradientBoosting,Early,0.9621471816236029,1.0196922388699363,0.6182744031450843,1.0742796093883373,0.4666666666666667,0.5333333333333333
Huber,Early,-7.0001510650612575,0.17746236206805577,6.571000902227881,-11.425526706568583,0.5333333333333333,0.4666666666666667
LightGBM,Early,0.9791299950067673,1.4668256649528786,0.5284840875070255,1.1260797474523354,0.4666666666666667,0.5333333333333333
MIDAS,Early,-1.3278026240282672,-0.9485092692546573,-2.711175109027583,-0.8767029006589253,0.6,0.4
RandomForest,Early,0.9235680548907156,0.6839504792559694,0.6817119861563261,1.0024341642606251,0.4,0.6
Shadow,Early,0.05862221132237732,0.19410437123458735,0.5574791942746572,-0.10404854398814871,0.5333333333333333,0.4666666666666667
ShockSwitch,Early,-1.362262730295847,-0.6366105013131005,-3.4960090691282404,-0.6664758806765881,0.6666666666666666,0.3333333333333333
SimpleEnsemble,Early,0.4788433930321941,1.0932411257071806,-0.07285508713419517,0.658745071347321,0.4666666666666667,0.5333333333333333
StackingNowcast,Early,0.09387839644378157,0.15520996434825918,-0.5199439648400225,0.29403786207980465,0.5333333333333333,0.4666666666666667
AR,Late,-1.5593732599034142,-1.5763355130289796,-0.6336225773244005,-2.119696041464396,0.6086956521739131,0.391304347826087
AdaptiveEnsemble,Late,0.026690470377439008,0.022230565128168678,-0.4351754168693622,0.3062408758162924,0.6521739130434783,0.34782608695652173
Bridge,Late,-1.6029260671890904,-1.3187765592302014,-3.67660038402093,-0.34780740173824026,0.7391304347826086,0.2608695652173913
DFM,Late,-3.5809426029759677,-2.9824196792987863,-4.696332291197774,-2.905838317999611,0.9130434782608695,0.08695652173913043
DFMShockAdjusted,Late,-1.733970116052145,-1.4691335178591345,0.20215995673062412,-2.905838317999611,0.5217391304347826,0.4782608695652174
ElasticNet,Late,-0.19307019671495596,0.07077151374488722,-1.0212326573890358,0.3081860294825134,0.5652173913043478,0.43478260869565216
GradientBoosting,Late,0.8652730565503695,-0.05450940269206228,0.0741345060509512,1.344120073957912,0.5652173913043478,0.43478260869565216
Huber,Late,0.6138955494145714,0.7976886427930339,0.8803245624305045,0.45263588364176965,0.391304347826087,0.6086956521739131
LightGBM,Late,0.8266286798685168,0.5297926898408036,0.27064204080380455,1.1631469087761057,0.5652173913043478,0.43478260869565216
MIDAS,Late,0.08859651291156631,-0.18430948695298355,-1.5212657401331275,1.0629868239649336,0.6956521739130435,0.30434782608695654
RandomForest,Late,1.0480353099214854,1.0899648888023563,0.3244943548874593,1.485967993231554,0.43478260869565216,0.5652173913043478
Shadow,Late,-0.364084965129689,-0.6433533980416257,-0.6756743147983929,-0.1754914113828419,0.6521739130434783,0.34782608695652173
ShockSwitch,Late,-1.250462099570557,-0.5016098248224097,-3.012758452362958,-0.18380904393305136,0.7391304347826086,0.2608695652173913
SimpleEnsemble,Late,0.6367167124063537,0.680717497949928,-0.08799043891170362,1.07535525136202,0.5217391304347826,0.4782608695652174
StackingNowcast,Late,0.16064668904596544,0.050350146062072554,0.27408495033191177,0.09198668879394527,0.4782608695652174,0.5217391304347826
AR,Mid,-1.8272334125245717,-1.576335513029008,-1.4333166437292533,-2.082746992283697,0.8333333333333334,0.16666666666666666
AdaptiveEnsemble,Mid,0.5348763484697745,0.5925333263679278,-0.3240572305152938,1.0920224537573864,0.5,0.5
Bridge,Mid,-1.2764484277740489,-0.9525633141002317,-3.3157963540160025,0.04637184870721807,0.7916666666666666,0.20833333333333334
DFM,Mid,-4.310191384055568,-3.683755254737207,-6.115747709902685,-3.139019713235817,0.875,0.125
DFMShockAdjusted,Mid,-2.1162011739422817,-2.151948401744903,-0.5393559258647477,-3.139019713235817,0.5833333333333334,0.4166666666666667
ElasticNet,Mid,0.5214997979467867,0.3127650724732689,-0.9484528279792718,1.474982582331257,0.6666666666666666,0.3333333333333333
GradientBoosting,Mid,1.2697575038282065,0.9110824819899221,0.6979943472970914,1.6406309026592,0.2916666666666667,0.7083333333333334
Huber,Mid,2.629852274001762,2.4964342021663555,0.28228827302565485,4.152596490851129,0.4166666666666667,0.5833333333333334
